"variable","column","depth","bandwidth","cost"
"N2O",1,7.5,5,0.899770443028932
"SP",1,7.5,5,9.66623082298719
"d18O",1,7.5,5,4.22500050989747
"N2O",2,7.5,5,0.061734184989379
"SP",2,7.5,5,8.38679994160468
"d18O",2,7.5,5,2.39545736834377
"N2O",3,7.5,5,0.227607295383216
"SP",3,7.5,5,7.35358686491401
"d18O",3,7.5,5,1.64831155857442
"N2O",4,7.5,5,0.483554205968321
"SP",4,7.5,5,7.36106381443389
"d18O",4,7.5,5,3.83270924275148
"N2O",5,7.5,5,0.213339447444562
"SP",5,7.5,5,9.86559661571197
"d18O",5,7.5,5,2.22334575690251
"N2O",6,7.5,5,0.982773111367029
"SP",6,7.5,5,12.0180010259067
"d18O",6,7.5,5,4.007634646666
"N2O",7,7.5,5,0.344796480695221
"SP",7,7.5,5,15.0947275322268
"d18O",7,7.5,5,2.9008296963922
"N2O",8,7.5,5,0.626536676414069
"SP",8,7.5,5,11.756996756236
"d18O",8,7.5,5,2.42099066208074
"N2O",9,7.5,5,0.104442028619013
"SP",9,7.5,5,12.6348002575528
"d18O",9,7.5,5,1.47530807984185
"N2O",10,7.5,5,0.224984124240237
"SP",10,7.5,5,17.1724509465926
"d18O",10,7.5,5,3.11643623617459
"N2O",11,7.5,5,0.219544767568366
"SP",11,7.5,5,7.65647155405859
"d18O",11,7.5,5,1.98882965285483
"N2O",12,7.5,5,2.80633266950703
"SP",12,7.5,5,8.03603566684069
"d18O",12,7.5,5,6.16087714554715
"N2O",1,30,5,0.428963562917224
"SP",1,30,5,8.02305765345556
"d18O",1,30,5,1.69799656696483
"N2O",2,30,5,0.781381263470163
"SP",2,30,5,7.13228752739538
"d18O",2,30,5,2.06509598907818
"N2O",3,30,5,0.191047867711791
"SP",3,30,5,7.7971809470762
"d18O",3,30,5,3.2120746983986
"N2O",4,30,5,0.268222188045505
"SP",4,30,5,9.1175888786143
"d18O",4,30,5,2.60709824773668
"N2O",5,30,5,0.90760809636993
"SP",5,30,5,14.374918867271
"d18O",5,30,5,3.38570154785845
"N2O",6,30,5,0.686967599321079
"SP",6,30,5,8.85522848480207
"d18O",6,30,5,2.09157523561554
"N2O",7,30,5,0.328545535698826
"SP",7,30,5,9.26077237669356
"d18O",7,30,5,1.06272160480537
