,day_column_depth,date_R,column,depth,increment,variety,moisture,concNO3N,NO3N_ha,N2O,CO2,mgN2ONm3,mgCO2Cm3,gN2ONha,gCO2Cha,CN,d15Nbulk,d15Nalpha,d15Nbeta,SP,d18O
1,2015239 C1 120,2015239,C1,120,30,Zinal,0.308025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2015239 C1 30,2015239,C1,30,30,Zinal,0.31045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2015239 C1 60,2015239,C1,60,30,Zinal,0.276556395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2015239 C1 7.5,2015239,C1,7.5,15,Zinal,0.298437791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2015239 C1 90,2015239,C1,90,30,Zinal,0.32015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2015239 C10 120,2015239,C10,120,30,Zinal,0.303175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2015239 C10 30,2015239,C10,30,30,Zinal,0.31045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2015239 C10 60,2015239,C10,60,30,Zinal,0.27165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2015239 C10 7.5,2015239,C10,7.5,15,Zinal,0.2959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2015239 C10 90,2015239,C10,90,30,Zinal,0.3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2015239 C11 120,2015239,C11,120,30,Zinal,0.310562791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2015239 C11 30,2015239,C11,30,30,Zinal,0.308025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2015239 C11 60,2015239,C11,60,30,Zinal,0.314905233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2015239 C11 7.5,2015239,C11,7.5,15,Zinal,0.252080814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2015239 C11 90,2015239,C11,90,30,Zinal,0.312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2015239 C12 120,2015239,C12,120,30,Monte Calme 268,0.3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2015239 C12 30,2015239,C12,30,30,Monte Calme 268,0.278925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2015239 C12 60,2015239,C12,60,30,Monte Calme 268,0.2862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2015239 C12 7.5,2015239,C12,7.5,15,Monte Calme 268,0.291162791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2015239 C12 90,2015239,C12,90,30,Monte Calme 268,0.31045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2015239 C2 120,2015239,C2,120,30,Probus,0.2959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2015239 C2 30,2015239,C2,30,30,Probus,0.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2015239 C2 60,2015239,C2,60,30,Probus,0.30075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2015239 C2 7.5,2015239,C2,7.5,15,Probus,0.303513372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2015239 C2 90,2015239,C2,90,30,Probus,0.3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2015239 C3 120,2015239,C3,120,30,CH Claro,0.29420814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2015239 C3 30,2015239,C3,30,30,CH Claro,0.308814535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2015239 C3 60,2015239,C3,60,30,CH Claro,0.226195349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2015239 C3 7.5,2015239,C3,7.5,15,CH Claro,0.267194767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2015239 C3 90,2015239,C3,90,30,CH Claro,0.3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2015239 C4 120,2015239,C4,120,30,Monte Calme 268,0.317612209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2015239 C4 30,2015239,C4,30,30,Monte Calme 268,0.283775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2015239 C4 60,2015239,C4,60,30,Monte Calme 268,0.269225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2015239 C4 7.5,2015239,C4,7.5,15,Monte Calme 268,0.315243605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2015239 C4 90,2015239,C4,90,30,Monte Calme 268,0.32015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,2015239 C5 120,2015239,C5,120,30,Probus,0.298325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2015239 C5 30,2015239,C5,30,30,Probus,0.302159884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2015239 C5 60,2015239,C5,60,30,Probus,0.312705814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,2015239 C5 7.5,2015239,C5,7.5,15,Probus,0.276838372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,2015239 C5 90,2015239,C5,90,30,Probus,0.3056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2015239 C6 120,2015239,C6,120,30,CH Claro,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2015239 C6 30,2015239,C6,30,30,CH Claro,0.2959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,2015239 C6 60,2015239,C6,60,30,CH Claro,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2015239 C6 7.5,2015239,C6,7.5,15,CH Claro,0.281970349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2015239 C6 90,2015239,C6,90,30,CH Claro,0.312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2015239 C7 120,2015239,C7,120,30,Monte Calme 268,0.288625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
