"","date","column","depth","increment","variety","moisture","N2O","SP","d18O","N2ONvolume","N2ONarea","N2O_derivative","N2ONvolume_derivative","N2ONarea_derivative","SP_derivative","d18O_derivative","theta_w","theta_a","Ds","dCdZ","F","F_top_in","F_top_out","F_bottom_in","F_bottom_out","F_out","SP_bottom","d18O_bottom","SP_top","d18O_top","Nitrification_2.5%","Denitrification_2.5%","Reduction_2.5%","Nitrification_25%","Denitrification_25%","Reduction_25%","Nitrification_50%","Denitrification_50%","Reduction_50%","Nitrification_75%","Denitrification_75%","Reduction_75%","Nitrification_97.5%","Denitrification_97.5%","Reduction_97.5%"
"4",2015-08-27,"1",7.5,15,"Zinal",0.298437791,0.547873646614951,0.360013157546058,40.3799752487591,0.627781228728869,0.133734694681775,0.000253970253627838,0.00029101189369874,7.92188702923323e-05,0.0187307142501478,0.0118913415797741,0.298437791,0.179605657520747,4.15423896212578e-07,3.97698195486602e-06,1.79857843801389,0,1.79857843801389,0.222277558780559,0,1.79857843801389,-1.04979088769531,36.6306752662702,15.1,49.6,-5.84095066271918,12.230734278006,21.0498150044247,-4.09989666303163,15.3797207848995,26.6973963167071,-2.90318549072147,15.8539895160507,27.5477221423138,-2.80776754678312,21.9004210005246,38.3928392568104,-2.18407113815854,30.6768793325375,54.1286972513049
"64",2015-08-28,"1",7.5,15,"Zinal",0.270134375,0.549035260812017,0.360023863644783,40.3928903547613,0.629112264803424,0.134088217700026,0.00025475550100121,0.000291911675221272,7.94760243917965e-05,0.0243849317718406,0.0120983404107822,0.270134375,0.257410691130705,1.3784550682136e-06,3.99247014416022e-06,5.9912656889923,0,5.9912656889923,0.405041525313033,0,5.9912656889923,-1.04967865989674,36.6309771531645,15.1,49.6,-3.19480069870343,14.8496544837774,23.7811973911544,-3.11120536968178,17.3631000013053,28.2922594593064,-3.10224727356636,19.4506464682676,32.0372815354618,-2.6889054613194,19.4923891178933,32.105656111453,-2.19096134304672,19.9309893760532,32.892504502316
"124",2015-08-29,"1",7.5,15,"Zinal",0.261192188,0.550199110201238,0.360043283924422,40.4066601612248,0.630445862073771,0.134442371583954,0.000255530912041779,0.000292800217839782,7.97302152157911e-05,0.0316013689938372,0.0123073574776058,0.261192188,0.281992429253112,1.86817477450441e-06,4.00798813601651e-06,8.15132517574689,0,8.15132517574689,0.483100839281702,0,8.15132517574689,-1.04950817217159,36.6314144542838,15.1,49.6,-6.6063285065147,10.3636976878833,14.7325883527074,-3.8914926776076,17.4258794489445,27.4055470616535,-3.12478408879397,20.8760003939132,33.5961156963783,-2.43925363148693,24.7489182912489,40.5429368786493,-1.03949947742833,38.4343848936864,65.0963958280344
"184",2015-08-30,"1",7.5,15,"Zinal",0.259525,0.551365072371414,0.360078514130396,40.4212876612208,0.631781880274987,0.134797122122344,0.000256296202568447,0.000293677173203245,7.99813969286555e-05,0.0407366543450527,0.0125183346972956,0.259525,0.286575466804979,1.97130783124691e-06,4.02353429828552e-06,8.63468388238262,0,8.63468388238262,0.493963877023298,0,8.63468388238262,-1.04924986134528,36.6320481295099,15.1,49.6,-4.18058780164872,17.6943770441672,27.6717570790155,-3.55034889186792,20.1850384986039,32.1477135169782,-3.11005801596393,21.0947130876119,33.7821302421079,-2.93296019446305,23.3030855442473,37.7426778993821,-2.43807716214836,26.4688428363451,43.4259530730428
"244",2015-08-31,"1",7.5,15,"Zinal",0.250330208,0.55253302326144,0.360142430831643,40.4367747159589,0.633120177251609,0.135152434650931,0.000257051244241365,0.000294542211294906,8.02294870262002e-05,0.0521947099017176,0.0127311424099343,0.250330208,0.311851606639004,2.61282883763165e-06,4.0391069768192e-06,11.4889570007158,0,11.4889570007158,0.589078192502474,0,11.4889570007158,-1.04885942459401,36.6329666686726,15.1,49.6,-3.56061253942517,8.6959717864938,10.1915560889802,-3.15540086841963,15.9565869887828,23.2323280371171,-2.44016639787037,19.4473754483176,29.4982617651278,-1.74897083890063,23.0460900657719,35.9627794348171,-0.307320241084979,25.0850082947415,39.6205566935867
"304",2015-09-01,"1",7.5,15,"Zinal",0.245126563,0.553702837180867,0.360258403888943,40.4531220518015,0.634460608981187,0.135508274058134,0.000257795707043774,0.000295395304613366,8.04744396727643e-05,0.0664181231680026,0.0129456703165879,0.245126563,0.326156232417012,3.03412820153537e-06,4.05470449574489e-06,13.3929862619479,0,13.3929862619479,0.679487010992929,0,13.3929862619479,-1.0482705946441,36.6342985363309,15.1,49.6,-3.12587622692161,7.9978712937509,8.04895700034361,-2.4993839168795,16.4793713787212,23.2857160746911,-1.94002398059523,18.0929811247859,26.1830060532962,-1.62053363807608,20.8977468080372,31.2267706992079,0.0641949892463485,24.0617160018911,36.9128059312992
"364",2015-09-02,"1",7.5,15,"Zinal",0.244975,0.554874386831444,0.360468853133462,40.4703292605799,0.63580302959897,0.135864604791063,0.000258529416800164,0.000296236086473341,8.07161700723756e-05,0.0838719333435498,0.0131618081183222,0.244975,0.326572873443983,3.04706658212964e-06,4.07032515775258e-06,13.50191395518,0,13.50191395518,0.671325258877723,0,13.50191395518,-1.04738445457613,36.6362302090743,15.1,49.6,-4.87741434701951,13.4525120057447,17.8144348719667,-3.44949471691733,23.4008812623437,35.6920284075568,-3.07299481987051,23.8356806083095,36.4649637537244,-2.9882773780782,25.7177536538342,39.863141522856,-1.00805130811584,32.9057953518954,52.7799439393922
"424",2015-09-03,"1",7.5,15,"Zinal",0.243560417,0.556047543329658,0.360850787105139,40.4883948030873,0.637147291423737,0.136221390861792,0.000259252245170685,0.000297064336863659,8.09546186386749e-05,0.105018286994452,0.0133794285020059,0.243560417,0.330461509284232,3.16969327655186e-06,4.08596724439545e-06,14.099262846473,0,14.099262846473,0.681009729888859,0,14.099262846473,-1.04605370491848,36.6390322564199,15.1,49.6,-4.07166599900153,17.0796872326455,24.0696230686635,-3.12174890497166,17.5129920596897,24.8562618931507,-2.34143855621071,20.5018326454159,30.2303320211967,-1.74725126457734,24.4108206414643,37.2579820715353,-1.65948495661034,29.2063121494474,45.8802436988032
"484",2015-09-04,"1",7.5,15,"Zinal",0.246389583,0.557222176230266,0.3615440230433,40.5073160156007,0.638493244984754,0.136578595853914,0.000259963816302917,0.000297879799104618,8.11897028674729e-05,0.130281083238836,0.0135983836201316,0.246389583,0.322684237603734,2.92780009269275e-06,4.10162901640355e-06,13.0732053979676,0,13.0732053979676,0.600055526400294,0,13.0732053979676,-1.04405963820124,36.643096907343,15.1,49.6,-3.48952743334756,12.6550834167147,16.6430964646492,-2.12461207118105,13.2121317650671,17.7527717519705,-1.22851927328422,14.2304247156974,19.4548961924084,-1.06752989249901,18.7208276446435,27.5346362839891,-0.914317901245032,25.6130015585621,39.9377629333226
"544",2015-09-05,"1",7.5,15,"Zinal",0.244975,0.558398153550814,0.362802435007924,40.5270891192635,0.639840739049877,0.136936182929357,0.000260664148531126,0.000298682179847991,8.14213746313257e-05,0.160000900213946,0.0138185285586741,0.244975,0.326572873443983,3.04706658212964e-06,4.11730871401085e-06,13.6577658611878,0,13.6577658611878,0.640693404011381,0,13.6577658611878,-1.04107872242124,36.6489918335381,15.1,49.6,-4.25730304929442,8.48001931065387,8.84375784104127,-3.71827976049955,10.3288189745584,12.1863973356216,-1.62916421110712,16.6031880054915,23.4795058411077,-0.371049259401122,27.0959750635076,42.3605657003099,-0.0100309717910969,29.8137551511418,47.254759537185
