"variable","column","depth","bandwidth","cost"
"N2O",1,7.5,5,0.891790381062687
"SP",1,7.5,5,9.08445136629058
"d18O",1,7.5,5,4.05505061489206
"N2O",2,7.5,5,0.0635652491883331
"SP",2,7.5,5,8.32172589263275
"d18O",2,7.5,5,2.17842885432124
"N2O",3,7.5,5,0.212486558269628
"SP",3,7.5,5,7.2714927857673
"d18O",3,7.5,5,1.5357910775793
"N2O",4,7.5,5,0.444799414532028
"SP",4,7.5,5,8.05236479476653
"d18O",4,7.5,5,3.98196484898507
"N2O",5,7.5,5,0.216000043755299
"SP",5,7.5,5,10.5175097704482
"d18O",5,7.5,5,2.11684275561666
"N2O",6,7.5,5,0.864753841119496
"SP",6,7.5,5,11.6240460555267
"d18O",6,7.5,5,3.64036956772508
"N2O",7,7.5,5,0.307399159365968
"SP",7,7.5,5,15.83840938133
"d18O",7,7.5,5,3.02499418427333
"N2O",8,7.5,5,0.575365385667269
"SP",8,7.5,5,11.407185688383
"d18O",8,7.5,5,2.47015629824757
"N2O",9,7.5,5,0.106794348523758
"SP",9,7.5,5,12.256069777517
"d18O",9,7.5,5,1.64381654634942
"N2O",10,7.5,5,0.222535850748457
"SP",10,7.5,5,15.3612292383536
"d18O",10,7.5,5,2.99985628097769
"N2O",11,7.5,5,0.236182952299255
"SP",11,7.5,5,7.85589908231708
"d18O",11,7.5,5,2.13266302824865
"N2O",12,7.5,5,3.53262140367729
"SP",12,7.5,5,7.99395854074437
"d18O",12,7.5,5,6.9780414107939
"N2O",1,30,5,0.399736643567008
"SP",1,30,5,8.18083914637723
"d18O",1,30,5,1.76280034985692
"N2O",2,30,5,0.842464535371477
"SP",2,30,5,7.7953711749746
"d18O",2,30,5,2.14509784119087
"N2O",3,30,5,0.154925090509074
"SP",3,30,5,7.95284180600762
"d18O",3,30,5,3.27136496878409
"N2O",4,30,5,0.303855151115757
"SP",4,30,5,8.80205398015845
"d18O",4,30,5,2.56129626604066
"N2O",5,30,5,0.810698053792503
"SP",5,30,5,14.070955428702
"d18O",5,30,5,3.04735697292373
"N2O",6,30,5,0.746266855741408
"SP",6,30,5,8.82604786472028
"d18O",6,30,5,2.15731833175673
"N2O",7,30,5,0.332781311179065
"SP",7,30,5,10.0097340275199
"d18O",7,30,5,1.09714423012826
"N2O",8,30,5,0.878950965425011
"SP",8,30,5,12.4220533777471
"d18O",8,30,5,2.2424638542587
"N2O",9,30,5,1.29560913813243
"SP",9,30,5,7.96725030095746
"d18O",9,30,5,2.65678209767406
"N2O",10,30,5,0.291183823990207
"SP",10,30,5,12.6700447533637
"d18O",10,30,5,3.53387159696309
"N2O",11,30,5,0.610142737832879
"SP",11,30,5,7.33264894246324
"d18O",11,30,5,3.27051343483809
"N2O",12,30,5,1.69983619418654
"SP",12,30,5,5.3183470911029
"d18O",12,30,5,2.89502805698853
"N2O",1,60,5,0.687417971781827
"SP",1,60,5,4.07386834862815
"d18O",1,60,5,3.89447536408666
"N2O",2,60,5,1.27337909689429
"SP",2,60,5,5.67999981780512
"d18O",2,60,5,3.34684766505569
"N2O",3,60,5,1.45826426274104
"SP",3,60,5,6.78786970485996
"d18O",3,60,5,4.31214530625974
"N2O",4,60,5,1.47957936314641
"SP",4,60,5,9.18366652253923
"d18O",4,60,5,3.95335064348355
"N2O",5,60,5,0.419630558679656
"SP",5,60,5,8.96194617411159
"d18O",5,60,5,1.84587492991916
"N2O",6,60,5,0.37359249792401
"SP",6,60,5,9.34371167229176
"d18O",6,60,5,1.5015777002671
"N2O",7,60,5,1.79687668980381
"SP",7,60,5,5.34891918416245
"d18O",7,60,5,5.15808126549589
"N2O",8,60,5,1.3675839078711
"SP",8,60,5,10.084744745909
"d18O",8,60,5,6.93320611214132
"N2O",9,60,5,1.34744535117002
"SP",9,60,5,7.05019943781119
"d18O",9,60,5,5.31611580891615
"N2O",10,60,5,1.16395201744467
"SP",10,60,5,11.0180644406712
"d18O",10,60,5,2.13535512416667
"N2O",11,60,5,1.31764146186803
"SP",11,60,5,4.75702687125656
"d18O",11,60,5,5.41355812241084
"N2O",12,60,5,2.13732787679587
"SP",12,60,5,4.44227135905562
"d18O",12,60,5,4.53666612953097
"N2O",1,90,5,0.853005864257455
"SP",1,90,5,3.17595872106156
"d18O",1,90,5,5.42639825855593
"N2O",2,90,5,1.68411114934482
"SP",2,90,5,4.4490557950485
"d18O",2,90,5,4.40429522909531
"N2O",3,90,5,2.02112221779799
"SP",3,90,5,8.88704197181145
"d18O",3,90,5,3.48769182483384
"N2O",4,90,5,1.88543610132186
"SP",4,90,5,9.36644689094793
"d18O",4,90,5,5.63928585711987
"N2O",5,90,5,0.406809023310262
"SP",5,90,5,12.4210595301984
"d18O",5,90,5,2.36713332075388
"N2O",6,90,5,0.240127519343921
"SP",6,90,5,3.81492663709136
"d18O",6,90,5,2.64337842624459
"N2O",7,90,5,1.56248214099573
"SP",7,90,5,9.44630444497272
"d18O",7,90,5,5.1244427688659
"N2O",8,90,5,1.09114568650686
"SP",8,90,5,13.1893017761809
"d18O",8,90,5,4.88502914871365
"N2O",9,90,5,2.23724133686822
"SP",9,90,5,3.64160983174392
"d18O",9,90,5,3.81223208521836
"N2O",10,90,5,1.43126966669424
"SP",10,90,5,13.0142026969775
"d18O",10,90,5,2.91604903075498
"N2O",11,90,5,2.07278653059325
"SP",11,90,5,4.29107276921037
"d18O",11,90,5,6.25416108750661
"N2O",12,90,5,2.97999341995188
"SP",12,90,5,2.47937198838987
"d18O",12,90,5,5.31214860245873
"N2O",1,120,5,0.972569123968231
"SP",1,120,5,2.94339202493794
"d18O",1,120,5,3.63040413025297
"N2O",2,120,5,1.8213101609297
"SP",2,120,5,3.98306070787429
"d18O",2,120,5,3.88415837658544
"N2O",3,120,5,1.72418134043017
"SP",3,120,5,7.98088892525935
"d18O",3,120,5,5.08714444198919
"N2O",4,120,5,2.34461249990603
"SP",4,120,5,4.79686049703621
"d18O",4,120,5,5.51011488843694
"N2O",5,120,5,0.359402108033951
"SP",5,120,5,8.60572693957378
"d18O",5,120,5,2.17351747174782
"N2O",6,120,5,0.271653765355599
"SP",6,120,5,11.7101783295922
"d18O",6,120,5,3.41172013032306
"N2O",7,120,5,1.64391992171081
"SP",7,120,5,4.77008295841531
"d18O",7,120,5,3.17430412831662
"N2O",8,120,5,1.541268198838
"SP",8,120,5,12.6159859817602
"d18O",8,120,5,3.03979373506266
"N2O",9,120,5,2.74633211215078
"SP",9,120,5,7.13928589164157
"d18O",9,120,5,8.55182249552338
"N2O",10,120,5,1.14364232467055
"SP",10,120,5,6.84404532884289
"d18O",10,120,5,5.20734007034366
"N2O",11,120,5,2.75401771830517
"SP",11,120,5,4.08555350376501
"d18O",11,120,5,6.16843767512045
"N2O",12,120,5,4.33812904905543
"SP",12,120,5,3.06782973142674
"d18O",12,120,5,8.91988650088061
"N2O",1,7.5,5.31522479724696,0.836385020755159
"SP",1,7.5,5.31522479724696,9.0649290286384
"d18O",1,7.5,5.31522479724696,4.12349227335945
"N2O",2,7.5,5.31522479724696,0.0648067993088079
"SP",2,7.5,5.31522479724696,8.40961946669207
"d18O",2,7.5,5.31522479724696,2.36834850125089
"N2O",3,7.5,5.31522479724696,0.222700355370697
"SP",3,7.5,5.31522479724696,6.9919512008789
"d18O",3,7.5,5.31522479724696,1.55120820864733
"N2O",4,7.5,5.31522479724696,0.476423774692396
"SP",4,7.5,5.31522479724696,7.87666739788147
"d18O",4,7.5,5.31522479724696,3.67390024458919
"N2O",5,7.5,5.31522479724696,0.202399316914757
"SP",5,7.5,5.31522479724696,10.4159249477358
"d18O",5,7.5,5.31522479724696,2.19900176517524
"N2O",6,7.5,5.31522479724696,0.876513393096262
"SP",6,7.5,5.31522479724696,11.4672523142263
"d18O",6,7.5,5.31522479724696,3.89675923292317
"N2O",7,7.5,5.31522479724696,0.318709773295896
"SP",7,7.5,5.31522479724696,14.6247666262318
"d18O",7,7.5,5.31522479724696,3.04602881352181
"N2O",8,7.5,5.31522479724696,0.546005294394324
"SP",8,7.5,5.31522479724696,11.4809690095787
"d18O",8,7.5,5.31522479724696,2.5859187725325
"N2O",9,7.5,5.31522479724696,0.109434012231859
"SP",9,7.5,5.31522479724696,13.2639714157668
"d18O",9,7.5,5.31522479724696,1.57574460543297
"N2O",10,7.5,5.31522479724696,0.214078126599942
"SP",10,7.5,5.31522479724696,15.2265829637454
"d18O",10,7.5,5.31522479724696,2.98905679181686
"N2O",11,7.5,5.31522479724696,0.253478130692541
"SP",11,7.5,5.31522479724696,7.47789410512762
"d18O",11,7.5,5.31522479724696,2.06482784989476
"N2O",12,7.5,5.31522479724696,3.16285790644645
"SP",12,7.5,5.31522479724696,8.06999499459264
"d18O",12,7.5,5.31522479724696,6.22608586263977
"N2O",1,30,5.31522479724696,0.409798949795165
"SP",1,30,5.31522479724696,8.20205852040662
"d18O",1,30,5.31522479724696,1.7854701981506
"N2O",2,30,5.31522479724696,0.824257350938974
"SP",2,30,5.31522479724696,7.73824929963475
"d18O",2,30,5.31522479724696,2.29516675567579
"N2O",3,30,5.31522479724696,0.156349096668647
"SP",3,30,5.31522479724696,7.43571898082158
"d18O",3,30,5.31522479724696,3.27712522507902
"N2O",4,30,5.31522479724696,0.295377614033334
"SP",4,30,5.31522479724696,8.70332883319386
"d18O",4,30,5.31522479724696,2.4056977978821
"N2O",5,30,5.31522479724696,0.786716007524731
"SP",5,30,5.31522479724696,13.8778945174016
"d18O",5,30,5.31522479724696,3.12104374425278
"N2O",6,30,5.31522479724696,0.656412313276669
"SP",6,30,5.31522479724696,8.47638558319291
"d18O",6,30,5.31522479724696,2.06214203347296
"N2O",7,30,5.31522479724696,0.314149666176548
"SP",7,30,5.31522479724696,9.57516121945631
"d18O",7,30,5.31522479724696,1.01416761100064
"N2O",8,30,5.31522479724696,0.89082320581961
"SP",8,30,5.31522479724696,12.1931451251972
"d18O",8,30,5.31522479724696,2.36011224278707
"N2O",9,30,5.31522479724696,1.14343198202295
"SP",9,30,5.31522479724696,8.35360772259688
"d18O",9,30,5.31522479724696,3.10413237111051
"N2O",10,30,5.31522479724696,0.289500197542446
"SP",10,30,5.31522479724696,11.9402509087319
"d18O",10,30,5.31522479724696,3.38672251589085
"N2O",11,30,5.31522479724696,0.676026097303067
"SP",11,30,5.31522479724696,7.31696405274684
"d18O",11,30,5.31522479724696,3.63654016023792
"N2O",12,30,5.31522479724696,1.65755023918159
"SP",12,30,5.31522479724696,5.84306606648907
"d18O",12,30,5.31522479724696,2.81089637028011
"N2O",1,60,5.31522479724696,0.681592235991172
"SP",1,60,5.31522479724696,4.07389703361898
"d18O",1,60,5.31522479724696,3.61594530789433
"N2O",2,60,5.31522479724696,1.3287916903174
"SP",2,60,5.31522479724696,6.07307169420832
"d18O",2,60,5.31522479724696,3.41938198423771
"N2O",3,60,5.31522479724696,1.4449179851368
"SP",3,60,5.31522479724696,6.49966550857936
"d18O",3,60,5.31522479724696,4.37416128803764
"N2O",4,60,5.31522479724696,1.60148248638452
"SP",4,60,5.31522479724696,9.71636598212947
"d18O",4,60,5.31522479724696,3.74351964085473
"N2O",5,60,5.31522479724696,0.35950121211197
"SP",5,60,5.31522479724696,8.85417146928184
"d18O",5,60,5.31522479724696,1.79808301493908
"N2O",6,60,5.31522479724696,0.39839554345871
"SP",6,60,5.31522479724696,9.45014429748971
"d18O",6,60,5.31522479724696,1.51921866047002
"N2O",7,60,5.31522479724696,1.72072804950183
"SP",7,60,5.31522479724696,5.45661020610145
"d18O",7,60,5.31522479724696,5.68397627726535
"N2O",8,60,5.31522479724696,1.32463584148354
"SP",8,60,5.31522479724696,10.689112647194
"d18O",8,60,5.31522479724696,6.67903790011515
"N2O",9,60,5.31522479724696,1.27575586235827
"SP",9,60,5.31522479724696,7.34369835328011
"d18O",9,60,5.31522479724696,5.59819880309958
"N2O",10,60,5.31522479724696,1.07309515121341
"SP",10,60,5.31522479724696,11.8884431295343
"d18O",10,60,5.31522479724696,2.12427365979093
"N2O",11,60,5.31522479724696,1.25035042432632
"SP",11,60,5.31522479724696,5.17309270253474
"d18O",11,60,5.31522479724696,4.99566708617042
"N2O",12,60,5.31522479724696,2.01445197691948
"SP",12,60,5.31522479724696,4.47705822228308
"d18O",12,60,5.31522479724696,4.60625433277139
"N2O",1,90,5.31522479724696,0.923187870105182
"SP",1,90,5.31522479724696,2.96574099790177
"d18O",1,90,5.31522479724696,5.40053887122631
"N2O",2,90,5.31522479724696,1.52719042662636
"SP",2,90,5.31522479724696,4.34730507396955
"d18O",2,90,5.31522479724696,4.14640479905837
"N2O",3,90,5.31522479724696,1.9080923241873
"SP",3,90,5.31522479724696,8.27439306322833
"d18O",3,90,5.31522479724696,3.32242919566561
"N2O",4,90,5.31522479724696,1.87339436786413
"SP",4,90,5.31522479724696,10.2892255832055
"d18O",4,90,5.31522479724696,5.64198672246708
"N2O",5,90,5.31522479724696,0.408474991844113
"SP",5,90,5.31522479724696,12.6156628118855
"d18O",5,90,5.31522479724696,2.44431963978201
"N2O",6,90,5.31522479724696,0.245070506375183
"SP",6,90,5.31522479724696,3.74098957246131
"d18O",6,90,5.31522479724696,2.32845346824513
"N2O",7,90,5.31522479724696,1.74635879998276
"SP",7,90,5.31522479724696,8.25421771482333
"d18O",7,90,5.31522479724696,5.07184796226641
"N2O",8,90,5.31522479724696,1.1407741204107
"SP",8,90,5.31522479724696,11.894347502952
"d18O",8,90,5.31522479724696,5.11828305891487
"N2O",9,90,5.31522479724696,2.08878078934259
"SP",9,90,5.31522479724696,3.85635342778814
"d18O",9,90,5.31522479724696,3.79696840512128
"N2O",10,90,5.31522479724696,1.3635169111354
"SP",10,90,5.31522479724696,11.852761134229
"d18O",10,90,5.31522479724696,2.83289294508766
"N2O",11,90,5.31522479724696,2.54250578840133
"SP",11,90,5.31522479724696,4.34576582514943
"d18O",11,90,5.31522479724696,6.30188188386843
"N2O",12,90,5.31522479724696,3.35322309934544
"SP",12,90,5.31522479724696,2.5081315894089
"d18O",12,90,5.31522479724696,5.329563446922
"N2O",1,120,5.31522479724696,0.907674603611192
"SP",1,120,5.31522479724696,2.77664974001137
"d18O",1,120,5.31522479724696,3.54268723865765
"N2O",2,120,5.31522479724696,1.75930377724962
"SP",2,120,5.31522479724696,3.86596644815095
"d18O",2,120,5.31522479724696,3.61841403492508
"N2O",3,120,5.31522479724696,2.1555546448731
"SP",3,120,5.31522479724696,7.80082504666534
"d18O",3,120,5.31522479724696,4.49408871902603
"N2O",4,120,5.31522479724696,2.69740697148178
"SP",4,120,5.31522479724696,5.01738294342653
"d18O",4,120,5.31522479724696,5.38193794320274
"N2O",5,120,5.31522479724696,0.356680556689812
"SP",5,120,5.31522479724696,8.27438581114539
"d18O",5,120,5.31522479724696,2.11659177551896
"N2O",6,120,5.31522479724696,0.265543275503935
"SP",6,120,5.31522479724696,12.0185171172854
"d18O",6,120,5.31522479724696,3.64006418678228
"N2O",7,120,5.31522479724696,1.63296060502299
"SP",7,120,5.31522479724696,4.70512873042318
"d18O",7,120,5.31522479724696,2.90483197169167
"N2O",8,120,5.31522479724696,1.5433195322557
"SP",8,120,5.31522479724696,12.0615525188172
"d18O",8,120,5.31522479724696,3.04031470394313
"N2O",9,120,5.31522479724696,2.71735106091725
"SP",9,120,5.31522479724696,6.86753281022961
"d18O",9,120,5.31522479724696,8.53832429545043
"N2O",10,120,5.31522479724696,1.06476777493289
"SP",10,120,5.31522479724696,7.52838791133305
"d18O",10,120,5.31522479724696,5.39418838127522
"N2O",11,120,5.31522479724696,2.57560096951458
"SP",11,120,5.31522479724696,3.87725034009416
"d18O",11,120,5.31522479724696,6.4824339550656
"N2O",12,120,5.31522479724696,3.87690144508913
"SP",12,120,5.31522479724696,3.06822493607811
"d18O",12,120,5.31522479724696,8.33889372101696
"N2O",1,7.5,5.65032292905379,0.761172033487502
"SP",1,7.5,5.65032292905379,8.88697928423438
"d18O",1,7.5,5.65032292905379,4.47229184528968
"N2O",2,7.5,5.65032292905379,0.0614786151711499
"SP",2,7.5,5.65032292905379,8.15731635918315
"d18O",2,7.5,5.65032292905379,2.32643767387489
"N2O",3,7.5,5.65032292905379,0.198311796435049
"SP",3,7.5,5.65032292905379,7.11947754078951
"d18O",3,7.5,5.65032292905379,1.50096164168132
"N2O",4,7.5,5.65032292905379,0.46034631052049
"SP",4,7.5,5.65032292905379,7.51578044523921
"d18O",4,7.5,5.65032292905379,3.8186229569255
"N2O",5,7.5,5.65032292905379,0.200783580337064
"SP",5,7.5,5.65032292905379,11.0635596589486
"d18O",5,7.5,5.65032292905379,2.18096097297675
"N2O",6,7.5,5.65032292905379,0.769583939602231
"SP",6,7.5,5.65032292905379,11.3079074612689
"d18O",6,7.5,5.65032292905379,4.04894080434281
"N2O",7,7.5,5.65032292905379,0.301571409535304
"SP",7,7.5,5.65032292905379,14.4764605959631
"d18O",7,7.5,5.65032292905379,2.94095774372648
"N2O",8,7.5,5.65032292905379,0.533108316405104
"SP",8,7.5,5.65032292905379,11.7205137731203
"d18O",8,7.5,5.65032292905379,2.38003276119533
"N2O",9,7.5,5.65032292905379,0.10059781616961
"SP",9,7.5,5.65032292905379,13.4866775929916
"d18O",9,7.5,5.65032292905379,1.60657278868751
"N2O",10,7.5,5.65032292905379,0.205125985001605
"SP",10,7.5,5.65032292905379,14.4698004756759
"d18O",10,7.5,5.65032292905379,2.84202840399906
"N2O",11,7.5,5.65032292905379,0.217800819868323
"SP",11,7.5,5.65032292905379,7.67894379234739
"d18O",11,7.5,5.65032292905379,2.03245393512828
"N2O",12,7.5,5.65032292905379,3.78849156569734
"SP",12,7.5,5.65032292905379,7.86513335330536
"d18O",12,7.5,5.65032292905379,7.15158698111302
"N2O",1,30,5.65032292905379,0.419458158756603
"SP",1,30,5.65032292905379,7.72785638340311
"d18O",1,30,5.65032292905379,1.83206980483033
"N2O",2,30,5.65032292905379,0.763239603274676
"SP",2,30,5.65032292905379,8.23176955764285
"d18O",2,30,5.65032292905379,2.0785095013639
"N2O",3,30,5.65032292905379,0.179894722872757
"SP",3,30,5.65032292905379,7.92432878240208
"d18O",3,30,5.65032292905379,3.17561632024519
"N2O",4,30,5.65032292905379,0.272790668962554
"SP",4,30,5.65032292905379,9.0870449607911
"d18O",4,30,5.65032292905379,2.26641852461485
"N2O",5,30,5.65032292905379,0.785912060127438
"SP",5,30,5.65032292905379,13.8268733703131
"d18O",5,30,5.65032292905379,2.91669800466126
"N2O",6,30,5.65032292905379,0.773918194057792
"SP",6,30,5.65032292905379,8.49189951344295
"d18O",6,30,5.65032292905379,2.00065448141807
"N2O",7,30,5.65032292905379,0.317502681573283
"SP",7,30,5.65032292905379,10.1714279206375
"d18O",7,30,5.65032292905379,1.05427530874157
"N2O",8,30,5.65032292905379,0.812894602547613
"SP",8,30,5.65032292905379,12.0381577089606
"d18O",8,30,5.65032292905379,2.22812488585579
"N2O",9,30,5.65032292905379,1.15960562272026
"SP",9,30,5.65032292905379,7.78147654650661
"d18O",9,30,5.65032292905379,2.9945794450307
"N2O",10,30,5.65032292905379,0.277359365435366
"SP",10,30,5.65032292905379,12.0497123333396
"d18O",10,30,5.65032292905379,3.60252707577598
