"","date","column","depth","increment","variety","moisture","N2O","SP","d18O","N2ONvolume","N2ONarea","N2O_measurement","N2O_derivative","N2ONvolume_measurement","N2ONvolume_derivative","N2ONarea_measurement","N2ONarea_derivative","SP_measurement","SP_derivative","d18O_measurement","d18O_derivative","theta_w","theta_a","Ds","dCdZ","F","F_top_in","F_top_out","F_bottom_in","F_bottom_out","F_out","SP_bottom","d18O_bottom","SP_top","d18O_top","Nitrification","Denitrification","Reduction","Nitrification_2.5%","Denitrification_2.5%","Reduction_2.5%","Nitrification_25%","Denitrification_25%","Reduction_25%","Nitrification_50%","Denitrification_50%","Reduction_50%","Nitrification_75%","Denitrification_75%","Reduction_75%","Nitrification_97.5%","Denitrification_97.5%","Reduction_97.5%"
"4",2015-08-27,"1",7.5,15,"Zinal",0.298437791,0.547873646614951,0.360013157546058,40.3799752487591,0.627781228728869,0.133734694681775,NA,0.000253970253627838,NA,0.00029101189369874,NA,7.92188702923323e-05,NA,0.0187307142501478,NA,0.0118913415797741,0.298437791,0.179605657520747,4.15423896212578e-07,3.97698195486602e-06,1.79857843801389,0,1.79857843801389,0.222277558780559,0,1.79857843801389,-1.04979088769531,36.6306752662702,15.1,49.6,-3.32193605974565,21.7622402032471,39.3099575740554,-4.54000101727353,11.8589132385153,21.0900089866183,-4.09476106333379,16.3268864477702,29.3097794532248,-3.67056175079721,23.9068211607248,43.2585592224308,-2.43668513702182,26.5157621671256,48.0582693532732,-1.71051868408715,29.2497769875331,53.0803612791429
"64",2015-08-28,"1",7.5,15,"Zinal",0.270134375,0.549035260812017,0.360023863644783,40.3928903547613,0.629112264803424,0.134088217700026,NA,0.00025475550100121,NA,0.000291911675221272,NA,7.94760243917965e-05,NA,0.0243849317718406,NA,0.0120983404107822,0.270134375,0.257410691130705,1.3784550682136e-06,3.99247014416022e-06,5.9912656889923,0,5.9912656889923,0.405041525313033,0,5.9912656889923,-1.04967865989674,36.6309771531645,15.1,49.6,-2.44292490198474,19.3139204822074,33.1768627816743,-4.39771492345445,8.06921427019017,12.4837909186468,-3.16067541034685,15.6784419261751,26.4956707278732,-2.21096034433164,17.8999259061423,30.5772286502773,-1.84956437447045,23.729230651248,41.2931429562148,-0.610351418455621,31.3044172241968,55.2415500534341
"124",2015-08-29,"1",7.5,15,"Zinal",0.261192188,0.550199110201238,0.360043283924422,40.4066601612248,0.630445862073771,0.134442371583954,NA,0.000255530912041779,NA,0.000292800217839782,NA,7.97302152157911e-05,NA,0.0316013689938372,NA,0.0123073574776058,0.261192188,0.281992429253112,1.86817477450441e-06,4.00798813601651e-06,8.15132517574689,0,8.15132517574689,0.483100839281702,0,8.15132517574689,-1.04950817217159,36.6314144542838,15.1,49.6,-2.44548777689772,20.8298645232704,35.1392848746894,-3.63261539025545,10.224586852749,15.6143996053192,-3.0904467473107,16.3241635772128,26.847012074122,-2.71260048685533,22.4667022202648,38.1512167874095,-1.71020905214774,24.7804936143133,42.4102897179571,-0.715273213778457,28.1036544419418,48.5279396437165
"184",2015-08-30,"1",7.5,15,"Zinal",0.259525,0.551365072371414,0.360078514130396,40.4212876612208,0.631781880274987,0.134797122122344,NA,0.000256296202568447,NA,0.000293677173203245,NA,7.99813969286555e-05,NA,0.0407366543450527,NA,0.0125183346972956,0.259525,0.286575466804979,1.97130783124691e-06,4.02353429828552e-06,8.63468388238262,0,8.63468388238262,0.493963877023298,0,8.63468388238262,-1.04924986134528,36.6320481295099,15.1,49.6,-1.91505415805178,17.8910726720107,29.5558123605216,-3.41690352350956,9.10300064686236,13.3725385723721,-2.51934795269576,12.1315017457464,18.9506835120569,-2.12269777259429,19.1840364622445,31.9384504166299,-0.974467210143884,21.60731295635,36.4018378248545,-0.480166356312662,27.0741142873673,46.4595438637655
"244",2015-08-31,"1",7.5,15,"Zinal",0.250330208,0.55253302326144,0.360142430831643,40.4367747159589,0.633120177251609,0.135152434650931,NA,0.000257051244241365,NA,0.000294542211294906,NA,8.02294870262002e-05,NA,0.0521947099017176,NA,0.0127311424099343,0.250330208,0.311851606639004,2.61282883763165e-06,4.0391069768192e-06,11.4889570007158,0,11.4889570007158,0.589078192502474,0,11.4889570007158,-1.04885942459401,36.6329666686726,15.1,49.6,-2.03379138229574,20.5912444238525,33.4295709032025,-4.15103922354532,9.74900780425903,13.459170458289,-3.09417536895741,11.9339942799073,17.4824927724996,-2.08285384656154,20.8959798728803,33.9950377685654,-0.618190063239569,27.0857317140072,45.3958374284633,-0.261025654608341,33.5712478063699,57.3432071392493
"304",2015-09-01,"1",7.5,15,"Zinal",0.245126563,0.553702837180867,0.360258403888943,40.4531220518015,0.634460608981187,0.135508274058134,NA,0.000257795707043774,NA,0.000295395304613366,NA,8.04744396727643e-05,NA,0.0664181231680026,NA,0.0129456703165879,0.245126563,0.326156232417012,3.03412820153537e-06,4.05470449574489e-06,13.3929862619479,0,13.3929862619479,0.679487010992929,0,13.3929862619479,-1.0482705946441,36.6342985363309,15.1,49.6,-1.95470400455718,21.4463208345264,34.2825752815594,-3.52611282749811,10.1551916553946,13.4738871317339,-3.00754124768232,15.5393286114546,23.4040247056647,-2.19839092658084,22.9367548040808,37.0332533670005,-0.98971927921334,27.8899303436608,46.1526376624875,-0.108195270900068,31.0564208998233,51.9935865019364
"364",2015-09-02,"1",7.5,15,"Zinal",0.244975,0.554874386831444,0.360468853133462,40.4703292605799,0.63580302959897,0.135864604791063,0.447598334,0.000258529416800164,0.512880723195286,0.000296236086473341,0.0913942562114874,8.07161700723756e-05,0.36,0.0838719333435498,41.15,0.0131618081183222,0.244975,0.326572873443983,3.04706658212964e-06,4.07032515775258e-06,13.50191395518,0,13.50191395518,0.671325258877723,0,13.50191395518,-1.04738445457613,36.6362302090743,15.1,49.6,-2.02606621620457,21.9284361593682,35.1486335306304,-4.33303836088971,10.7417936289626,14.520734476966,-2.48920251816366,17.4972784307498,26.9785970645369,-1.7522752954234,20.2627461880886,32.0716366553432,-1.30145750621599,24.7555320540445,40.3626116834524,-0.19509475674972,36.0173527539153,61.1238900757254
"424",2015-09-03,"1",7.5,15,"Zinal",0.243560417,0.556047543329658,0.360850787105139,40.4883948030873,0.637147291423737,0.136221390861792,NA,0.000259252245170685,NA,0.000297064336863659,NA,8.09546186386749e-05,NA,0.105018286994452,NA,0.0133794285020059,0.243560417,0.330461509284232,3.16969327655186e-06,4.08596724439545e-06,14.099262846473,0,14.099262846473,0.681009729888859,0,14.099262846473,-1.04605370491848,36.6390322564199,15.1,49.6,-2.48785696379109,25.1378978408617,40.8586278186913,-3.842457857156,17.5081159227832,26.7860241588873,-2.93187433463495,21.3696279151247,33.9099684069299,-2.443667065775,24.8702306887856,40.3733513511692,-1.8723868010293,27.8527733770389,45.8610054175189,-1.23629153133837,33.3957878424792,56.0931217180128
"484",2015-09-04,"1",7.5,15,"Zinal",0.246389583,0.557222176230266,0.3615440230433,40.5073160156007,0.638493244984754,0.136578595853914,NA,0.000259963816302917,NA,0.000297879799104618,NA,8.11897028674729e-05,NA,0.130281083238836,NA,0.0135983836201316,0.246389583,0.322684237603734,2.92780009269275e-06,4.10162901640355e-06,13.0732053979676,0,13.0732053979676,0.600055526400294,0,13.0732053979676,-1.04405963820124,36.643096907343,15.1,49.6,-1.7421884336243,19.8226295534153,31.4798749530155,-3.96330901305048,7.81227840353369,9.31236417522105,-2.67015876413438,14.5682812793122,21.7862804073895,-1.5040361126968,18.3578998775368,28.7708772260403,-0.882101659196956,25.4812122745604,41.9246220477247,0.226135328440886,33.3726862357685,56.4820011139766
"544",2015-09-05,"1",7.5,15,"Zinal",0.244975,0.558398153550814,0.362802435007924,40.5270891192635,0.639840739049877,0.136936182929357,NA,0.000260664148531126,NA,0.000298682179847991,NA,8.14213746313257e-05,NA,0.160000900213946,NA,0.0138185285586741,0.244975,0.326572873443983,3.04706658212964e-06,4.11730871401085e-06,13.6577658611878,0,13.6577658611878,0.640693404011381,0,13.6577658611878,-1.04107872242124,36.6489918335381,15.1,49.6,-2.37063879015043,24.0687938433846,39.1110024790404,-4.21482751442332,15.9174075709019,24.0542138614935,-3.00999676293623,19.359830907019,30.4128166568989,-2.09957456013298,22.4000801152403,36.0298310960745,-1.60009264071817,27.9714145741324,46.3117511576734,-1.03573948743893,35.345589594976,59.9576989526122
