"Depth","Column","Parameter","Process","Coefficient","SRC","R2","adjR2"
7.5,1,"BD","Nitrification",-17.8532008768654,-0.281405820061302,0.976069630676202,0.975326964042015
7.5,1,"eta_SP_diffusion","Nitrification",1.27487633803483,0.0908584132659934,0.976069630676202,0.975326964042015
7.5,1,"eta_18O_diffusion","Nitrification",-0.616168557996186,-0.0421409307162276,0.976069630676202,0.975326964042015
7.5,1,"SP_nitrification","Nitrification",-0.31234798147504,-0.138787626783461,0.976069630676202,0.975326964042015
7.5,1,"d18O_nitrification","Nitrification",0.136079886458945,0.100340891828472,0.976069630676202,0.975326964042015
7.5,1,"SP_denitrification","Nitrification",-0.492595304658675,-0.627260412454292,0.976069630676202,0.975326964042015
7.5,1,"d18O_denitrification","Nitrification",0.218960793921114,0.17216679311652,0.976069630676202,0.975326964042015
7.5,1,"eta_SP_reduction","Nitrification",0.942144897680956,0.359655497183779,0.976069630676202,0.975326964042015
7.5,1,"eta_18O_reduction","Nitrification",-0.448886598817202,-0.644433576851518,0.976069630676202,0.975326964042015
7.5,1,"BD","Denitrification",-2.28900852357038,-0.0446484256168046,0.980178660045882,0.979563515012823
7.5,1,"eta_SP_diffusion","Denitrification",-0.754466830108796,-0.0665394174415197,0.980178660045882,0.979563515012823
7.5,1,"eta_18O_diffusion","Denitrification",-0.37483731458563,-0.0317240892884865,0.980178660045882,0.979563515012823
7.5,1,"SP_nitrification","Denitrification",0.222904802832016,0.122566907311684,0.980178660045882,0.979563515012823
7.5,1,"d18O_nitrification","Denitrification",0.064664693275231,0.0590055681226778,0.980178660045882,0.979563515012823
7.5,1,"SP_denitrification","Denitrification",0.27979564609174,0.440900223901164,0.980178660045882,0.979563515012823
7.5,1,"d18O_denitrification","Denitrification",0.222472100208717,0.216471308120906,0.980178660045882,0.979563515012823
7.5,1,"eta_SP_reduction","Denitrification",-0.495486308625745,-0.234068200614107,0.980178660045882,0.979563515012823
7.5,1,"eta_18O_reduction","Denitrification",-0.437666079105251,-0.777546130571444,0.980178660045882,0.979563515012823
7.5,1,"BD","Reduction",27.6251244987449,0.573729795045017,0.956600080717486,0.955253186670787
7.5,1,"eta_SP_diffusion","Reduction",-0.116550705649673,-0.0109445565953321,0.956600080717486,0.955253186670787
7.5,1,"eta_18O_diffusion","Reduction",0.557751644815453,0.050261057983756,0.956600080717486,0.955253186670787
7.5,1,"SP_nitrification","Reduction",0.0924856897954367,0.0541467958829447,0.956600080717486,0.955253186670787
